iteration,cf.T0,cf.Tm,cf.q,Tbreadth,traitTreatmentName
1881,8.154539344956135,45.88771055129677,4.4857802028084836e-5,37.733171206340636,PDR
1882,14.087855016700868,34.33602043927841,1.2234916594939624e-4,20.24816542257754,PDR
1883,10.847054204789513,28.845906069167842,1.0537427467562362e-4,17.99885186437833,PDR
1884,11.217617920358347,28.093578838722316,1.1981875315729254e-4,16.87596091836397,PDR
1885,12.562836900827193,46.450957255495275,4.701073139722552e-5,33.88812035466808,PDR
1886,7.292086504279916,35.95190184290451,6.036946411595242e-5,28.659815338624597,PDR
1887,21.725642637378705,29.326233450536687,5.932775587783603e-4,7.600590813157982,PDR
1888,12.155532362770128,34.179470979705194,1.0293617031634094e-4,22.023938616935066,PDR
1889,11.192413784716322,57.8940092732535,5.385911675310574e-5,46.70159548853718,PDR
1890,11.232651064768927,28.20728550338804,1.3529268073922879e-4,16.974634438619113,PDR
1891,10.667938504541015,60.55055429258248,4.650183428923001e-5,49.88261578804147,PDR
1892,12.63284348460476,61.34598069670157,5.8469195618240775e-5,48.71313721209681,PDR
1893,11.881466579446553,26.947820755687182,1.575789030913259e-4,15.06635417624063,PDR
1894,10.286722885757719,47.57040071482177,5.083003519111879e-5,37.283677829064054,PDR
1895,10.17524923986152,40.745400407526276,6.973241598289006e-5,30.570151167664754,PDR
1896,17.195724497151588,45.444380398885414,1.4048156537311445e-4,28.248655901733827,PDR
1897,12.82797754516387,26.84131478319398,2.011829655409276e-4,14.01333723803011,PDR
1898,10.140702215428053,25.738428804361448,1.1941340728775276e-4,15.597726588933394,PDR
1899,9.861532293266146,41.62555052533746,6.250516474745067e-5,31.764018232071315,PDR
1900,9.167845687015962,36.665963444378015,5.560188613622613e-5,27.498117757362053,PDR
1901,9.054364499824924,44.129133823053124,5.6710599805447935e-5,35.074769323228196,PDR
1902,10.78584414201358,33.03498601774029,8.110429613609556e-5,22.249141875726707,PDR
1903,11.68247935917643,31.492368293111163,9.374904407740287e-5,19.809888933934733,PDR
1904,7.242341193144179,40.2322744326524,5.857684998575084e-5,32.989933239508225,PDR
1905,9.891354934337972,48.046568967153476,5.639807344583534e-5,38.15521403281551,PDR
1906,13.122277894603364,38.80758718227699,9.439664236010388e-5,25.685309287673626,PDR
1907,11.867100415992901,26.704891647519403,1.5154605254306776e-4,14.837791231526502,PDR
1908,12.188369957081557,36.949291150126065,9.385326769671648e-5,24.76092119304451,PDR
1909,11.411892326807076,32.75188783144541,7.730891402408656e-5,21.33999550463833,PDR
1910,10.400339370695113,28.909546430024726,1.122792825864202e-4,18.50920705932961,PDR
1911,9.642044673420353,34.537812886076765,7.74409368991417e-5,24.895768212656414,PDR
1912,10.194913489467886,47.48799601778122,5.4208749189856454e-5,37.293082528313334,PDR
1913,11.520122146637252,27.34243636295412,1.261122950370707e-4,15.822314216316869,PDR
1914,10.979545746869555,37.220167400709954,7.329906710343718e-5,26.2406216538404,PDR
1915,12.775585979105538,25.93633878117654,2.1922232730909658e-4,13.160752802071004,PDR
1916,6.60868753811515,36.49970907924653,4.802015405002624e-5,29.89102154113138,PDR
1917,8.911243419542323,41.310714840920916,6.558356288472208e-5,32.39947142137859,PDR
1918,8.365359762062637,52.39111349307202,4.0984613808597285e-5,44.02575373100938,PDR
1919,12.677096979793856,29.350327392480104,1.275769927783037e-4,16.673230412686248,PDR
1920,12.185041293844305,28.249554365467255,1.4044380056070187e-4,16.064513071622947,PDR
1921,9.552310906559782,38.25561816854712,6.728648510856044e-5,28.70330726198734,PDR
1922,11.199563614235617,30.871998292594995,1.0356872094558995e-4,19.67243467835938,PDR
1923,12.028191129813662,34.70869406760027,8.660778874852745e-5,22.680502937786606,PDR
1924,11.989107158731315,39.79850630268149,7.668641381849746e-5,27.809399143950174,PDR
1925,12.452509029292791,25.59070455824344,1.6913361115470448e-4,13.13819552895065,PDR
1926,10.532908093341941,28.697107010129194,1.136568972204029e-4,18.164198916787253,PDR
1927,15.858506050551236,30.270300866587483,1.9706125763440833e-4,14.411794816036247,PDR
1928,9.287414890266266,47.70674921451109,4.797722534569346e-5,38.41933432424483,PDR
1929,10.907240177500734,51.90792791215527,4.3805530914040654e-5,41.00068773465454,PDR
1930,10.625712677672457,48.66851223265823,5.572067254519747e-5,38.04279955498578,PDR
