"","temperature","lowerCI","upperCI","lowerQ","upperQ","mean","median","treatment","scaled_median"
"165",16.4,0,4.40333799327181,0.310629325007205,1.63415378625625,1.17116636153615,0.848780132788241,"S",0.013708889615241
"166",16.5,0,4.7420605950867,0.371917348297713,1.808816314089,1.29550008819514,0.959697395986283,"S",0.0155003459169001
"167",16.6,0,5.09696492290362,0.434351582485008,1.98655097087596,1.42914762527407,1.07801415911352,"S",0.0174113136489271
"168",16.7,0,5.47378913643039,0.502885751746927,2.17629908238661,1.57259609326541,1.20768466234331,"S",0.0195056588703337
"169",16.8,0,5.91108605478633,0.58095914817948,2.39229239423872,1.72643823723125,1.34297262244137,"S",0.0216907332371935
"170",16.9,0,6.37266717157291,0.665463216632987,2.61289746192923,1.89120979485805,1.49176355669655,"S",0.0240938979846438
"171",17,0,6.84972919352878,0.756295740456064,2.85037402937384,2.06715161888904,1.65240229446125,"S",0.0266884199802443
"172",17.1,0,7.34536442753357,0.856540647476895,3.09434851979609,2.25465913402915,1.81944851727368,"S",0.0293864310913856
"173",17.2,0,7.87299596670894,0.963280690345883,3.36358948332488,2.45385111157227,1.99539119630715,"S",0.0322281314002232
"174",17.3,0,8.39052008202711,1.08326929720418,3.63377059635126,2.66510331645974,2.18053805685735,"S",0.0352184910656329
"175",17.4,0,8.97145237754379,1.20894277376127,3.92285573928986,2.88918668727577,2.38168197602162,"S",0.0384672237798892
"176",17.5,0,9.55670033527436,1.3386261857857,4.24056699943086,3.12636795717123,2.59222519667386,"S",0.0418677672889337
"177",17.6,0,10.1911533803265,1.47952634007616,4.56772439364334,3.3766622097932,2.82447788375637,"S",0.045618946572075
"178",17.7,0,10.8738728861444,1.6287967359253,4.908229288052,3.64100114252991,3.0653771892635,"S",0.0495097798515215
"179",17.8,0,11.5790991428205,1.78494634907494,5.27771426325894,3.91962481392632,3.30829599159977,"S",0.0534332305993081
"180",17.9,0,12.2578876999008,1.95464516926954,5.65847525476331,4.2127461444634,3.57177147648202,"S",0.0576886981804208
"181",18,0,13.0374284137311,2.1268143179865,6.06983853004811,4.52057271021501,3.84774636760643,"S",0.0621460472309628
"182",18.1,0,13.8081606029983,2.32249085139752,6.49264662156492,4.84325981040881,4.13754690524102,"S",0.0668266982351508
"183",18.2,0,14.6274028594943,2.52843575348388,6.92791168004407,5.18097023003245,4.44210948361851,"S",0.071745775162876
"184",18.3,0,15.5132303665594,2.73589297388362,7.38729904434197,5.53395791894759,4.76411188920525,"S",0.0769465277058576
"185",18.4,0,16.4152970439402,2.96487448526585,7.87128337628565,5.90259675911048,5.09962066777291,"S",0.0823654255248005
"186",18.5,0,17.3347187733326,3.18698467114245,8.36869407094514,6.28762228948512,5.44622828223546,"S",0.0879635838026812
"187",18.6,1.72517884852525e-52,18.2754924149554,3.43351239939459,8.87831784907056,6.68847678610709,5.81415946487517,"S",0.0939061451020881
"188",18.7,0.0331399170048673,19.2718026721051,3.68963944091563,9.41569036426658,7.10576597358152,6.19481778257293,"S",0.100054265983876
"189",18.8,0.154202584496686,20.2737179871285,3.95026739293464,9.97032934090069,7.54065369822948,6.58282671358082,"S",0.106321108714326
"190",18.9,0.27200826737784,21.4076912498252,4.21903934106105,10.5655515595498,7.99221794122557,6.99373896991811,"S",0.112957869573906
"191",19,0.430474753673892,22.4710937092566,4.50647901156715,11.1743115666489,8.46120297498054,7.41729646839529,"S",0.119798867340025
"192",19.1,0.609522404901851,23.6394100486208,4.79716432795812,11.7773892788131,8.94740852722737,7.85856420399612,"S",0.126925908188928
"193",19.2,0.753259370535229,24.7793720774807,5.09887527131401,12.4166575267746,9.45119358462936,8.31066524622192,"S",0.134227920857921
"194",19.3,0.912815693310914,25.9819685509374,5.41154311470786,13.0912745700135,9.97295977702642,8.77767719392519,"S",0.141770763807168
"195",19.4,1.08415258308149,27.2278740785306,5.7410168758393,13.7659952790017,10.5130919346252,9.26682431849185,"S",0.149671118300939
"196",19.5,1.20005655544197,28.5161912821328,6.06380544232224,14.4613068408385,11.0702914810007,9.76717057207797,"S",0.157752353116461
"197",19.6,1.37376292397605,29.8876898675271,6.41882301381716,15.2242795461282,11.6450347639019,10.2857881793253,"S",0.166128693767742
"198",19.7,1.5289613630898,31.2966794743462,6.79809473872594,15.9667857485599,12.237612308192,10.8212957960589,"S",0.174777829771674
"199",19.8,1.681260392627,32.6658151383458,7.1729524374551,16.728939883938,12.8483386665476,11.3766097765005,"S",0.183746863995728
"200",19.9,1.87781599108206,34.1948890737605,7.56221871143511,17.516303877287,13.4768595804966,11.9476042602305,"S",0.192969158493423
"201",20,2.04732938350434,35.6878440148507,7.9570537275672,18.3368887643932,14.1236985722592,12.5049319576342,"S",0.201970716833538
"202",20.1,2.21059245086388,37.2518412701575,8.37481623063093,19.1801563125635,14.78689285043,13.1031834349095,"S",0.211633246795426
"203",20.2,2.40874881883748,38.8608079413687,8.78001254077611,20.0316413814897,15.4664110960968,13.7136236194131,"S",0.221492640038499
"204",20.3,2.55813999233698,40.5366896547453,9.20292160459586,20.9421853463328,16.1625922240435,14.3289197652107,"S",0.23143046329517
"205",20.4,2.70554397873373,42.2152755662843,9.64110006515266,21.8589846494357,16.8754286653078,14.9742102458452,"S",0.241852733594693
"206",20.5,2.885907092672,43.8714658055408,10.0964345831304,22.7971174396287,17.6048310360302,15.6382560075508,"S",0.25257792577937
"207",20.6,3.02191246883543,45.6442785825383,10.5579622653174,23.7455172496433,18.3506569579429,16.3134603463188,"S",0.263483343319594
"208",20.7,3.17649643607985,47.318893705491,11.0281999407415,24.7123627878332,19.1127160566486,17.0117105011029,"S",0.274760980396602
"209",20.8,3.34038083977588,49.1406071741897,11.5063574992876,25.722863963112,19.8907890437032,17.7141662922235,"S",0.286106543903637
"210",20.9,3.50104469047508,51.0044154075197,11.9836258418731,26.746686356123,20.6846221791617,18.4362362788097,"S",0.29776890186679
"211",21,3.66176727248766,52.8622811917161,12.4754036360291,27.7896395182889,21.4939327133375,19.1685965364584,"S",0.309597460928033
"212",21.1,3.87959251120752,54.8106080282393,12.9880855274252,28.8135786182963,22.3184099425007,19.8951357643522,"S",0.321332002880164
"213",21.2,4.0764410249427,56.8341436572203,13.5224531347532,29.9109306177531,23.1577247622649,20.6646044965682,"S",0.333759911480801
"214",21.3,4.2792045198355,58.9623378554684,14.0430677689445,30.982616663209,24.0114945110227,21.4343625629489,"S",0.34619249319992
